spot_horizon,put_price_horizon,value_unhedged,value_protected,loss_unhedged,loss_protected
762.0743329173763,13.718733839789063,76207.43329173763,77579.30667571654,629.5662199811195,611.1840093905339
762.2128700441825,13.667234032388418,76221.28700441825,77588.01040765709,615.7125073005009,602.480277449984
762.3426847257607,13.619095170365103,76234.26847257608,77596.17798961258,602.7310391426727,594.3126954944892
762.454487431886,13.577728160558419,76245.44874318861,77603.22155924446,591.5507685301418,587.2691258626146
762.6019031172345,13.523316162830113,76260.19031172345,77612.52192800646,576.8091999953031,577.968757100607
762.7459233769839,13.470303301010931,76274.59233769838,77621.62266779947,562.4071740203653,568.8680173075991
762.8695550856436,13.424911194270212,76286.95550856435,77629.44662799138,550.0440031543985,561.0440571156942
763.0025575052822,13.376198968213176,76300.25575052822,77637.87564734953,536.7437611905334,552.6150377575395
763.1465995575736,13.323585241938776,76314.65995575736,77647.01847995124,522.3395559613855,543.4722051558347
763.2697276933898,13.278728374310486,76326.97276933897,77654.84560677002,510.0267423797777,535.6450783370528
763.4154913583542,13.225766420953152,76341.54913583542,77664.12577793073,495.4503758833307,526.3649071763357
763.5487770040745,13.177473259531286,76354.87770040745,77672.62502636058,482.1218113112991,517.8656587464939
763.6885300112323,13.126976322068101,76368.85300112322,77681.55063333003,468.1465105955285,508.94005177704094
763.8301168287147,13.0759634864173,76383.01168287147,77690.6080315132,453.9878288472828,499.8826535938715
763.9617132949975,13.028683463220235,76396.17132949975,77699.03967582177,440.8281822190038,491.45100928530155
764.1234051948612,12.970767962866368,76412.34051948613,77709.41731577276,424.65899223262386,481.07336933430634
764.2542929849768,12.92403015657489,76425.42929849768,77717.83231415517,411.57021322107175,472.65837095190363
764.364620589552,12.884734898043009,76436.4620589552,77724.9355487595,400.5374527635431,465.5551363475679
764.5060023930818,12.834514832615756,76450.60023930817,77734.05172256975,386.3992724105774,456.4389625373151
764.6314868664753,12.790070167695152,76463.14868664753,77742.15570341704,373.8508250712184,448.33498169002996
764.7411822020434,12.751317405933916,76474.11822020434,77749.24996079774,362.8812915144081,441.240724309333
764.8688977906419,12.706316318470732,76486.8897790642,77757.52141091127,350.10973265455686,432.9692741957988
765.0104968597174,12.656572412296901,76501.04968597174,77766.70692720143,335.94982574701135,423.78375790563587
