spot,moneyness,american_put_price,std_error,intrinsic_value,binomial_price,bermudan_price,lsmc_minus_binomial,lsmc_minus_bermudan,discretisation_error
605.0913711547852,0.8078656490718094,143.90862884521482,0.013272710503971899,143.90862884521482,143.90862884521482,143.90862884521482,0.0,0.0,0.0
614.69599609375,0.8206889133427904,134.30400390625005,0.013484300232328276,134.30400390625005,134.30400390625005,134.30400390625005,0.0,0.0,0.0
624.3006210327148,0.8335121776137715,124.69937896728516,0.013763367244253623,124.69937896728516,124.69937896728516,124.69937896728516,0.0,0.0,0.0
633.9052459716796,0.8463354418847525,115.09475402832038,0.013908944249323237,115.09475402832038,115.09475402832038,115.09475402832038,0.0,0.0,0.0
643.5098709106445,0.8591587061557336,105.49012908935549,0.014904919115290157,105.49012908935549,105.49012908935549,105.49012908935549,0.0,0.0,0.0
653.1144958496094,0.8719819704267148,95.8855041503906,0.016274827675481992,95.8855041503906,95.8855041503906,95.8855041503906,0.0,0.0,0.0
662.7191207885742,0.8848052346976958,86.28087921142583,0.021708324587288098,86.28087921142583,86.28087921142583,86.28087921142583,0.0,0.0,0.0
672.3237457275391,0.897628498968677,76.80461155794642,0.039886090938086476,76.67625427246094,76.78703980571368,76.77069002920206,0.017571752232740323,0.03392152874435794,0.01634977651161762
681.9283706665038,0.910451763239658,67.70597366664005,0.052620078673324064,67.07162933349616,67.63398447143419,67.61865031113739,0.07198919520585889,0.08732335550266157,0.015334160296802679
691.5329956054687,0.9232750275106392,58.89866278166974,0.05784385559864758,57.46700439453127,58.895765820083625,58.881189059527934,0.002896961586117186,0.017473722141808423,0.014576760555691237
701.1376205444336,0.9360982917816203,50.68268844795692,0.06185116948335564,47.86237945556638,50.65445475986835,50.640632360080666,0.02823368808856941,0.04205608787625437,0.013822399787684958
710.7422454833984,0.9489215560526013,42.92577399575781,0.06319384736571905,38.25775451660161,42.981846353705365,42.968958522746014,-0.056072357947556384,-0.04318452698820607,0.01288783095935031
720.3468704223633,0.9617448203235824,35.9073601298537,0.06276019319379057,28.65312957763672,35.956374571773296,35.94476054585448,-0.0490144419195957,-0.03740041600077859,0.011614025918817106
729.951495361328,0.9745680845945635,29.560562384482903,0.06004459605525197,19.048504638671943,29.624786321723406,29.614190612810283,-0.06422393724050224,-0.0536282283273799,0.010595708913122337
739.556120300293,0.9873913488655447,23.96487525413774,0.05664979157409227,9.443879699707054,24.021085916989293,24.01169397839802,-0.05621066285155152,-0.04681872426028022,0.009391938591271298
749.1607452392577,1.0002146131365257,19.124541014415136,0.052861471433666964,0.0,19.158991451127886,19.151025648187634,-0.034450436712749166,-0.026484633772497546,0.00796580294025162
758.7653701782226,1.0130378774075068,14.985002586616455,0.047792483674799296,0.0,15.02558290229699,15.018914102624594,-0.04058031568053444,-0.03391151600813913,0.006668799672395309
768.3699951171875,1.025861141678488,11.525075245315174,0.042237932308317364,0.0,11.580432441193393,11.574924998279831,-0.0553571958782193,-0.04984975296465777,0.005507442913561533
777.9746200561523,1.038684405949469,8.726835480789093,0.037934557124387085,0.0,8.76859562331588,8.764142102960482,-0.041760142526786836,-0.03730662217138914,0.0044535203553977
787.5792449951172,1.0515076702204502,6.497489231909534,0.03280839194821607,0.0,6.521722943514676,6.518199540007707,-0.02423371160514165,-0.02071030809817298,0.0035234035069686698
797.1838699340819,1.0643309344914311,4.739374675269226,0.027867300791520735,0.0,4.7638962484739755,4.761169285603921,-0.02452157320474946,-0.021794610334694653,0.0027269628700548054
806.7884948730467,1.0771541987624123,3.3962408338143764,0.023189966644678144,0.0,3.417291446016957,3.415209104546643,-0.02105061220258042,-0.01896827073226648,0.002082341470313942
816.3931198120117,1.0899774630333934,2.4050066614122825,0.019710875749394657,0.0,2.4078664752432966,2.4062419628631284,-0.0028598138310140797,-0.0012353014508459381,0.0016245123801681416
825.9977447509765,1.1028007273043745,1.674438097358814,0.016566795084516393,0.0,1.6678293462882494,1.6666634925975368,0.006608751070564578,0.007774604761277226,0.0011658536907126482
835.6023696899414,1.1156239915753556,1.1457230787862522,0.013419059547632886,0.0,1.1347154882297599,1.133912783268333,0.011007590556492364,0.011810295517919345,0.000802704961426981
